Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/actuator/health,2366,0,2,2.835305871928447,0.8955419998528669,20.686833000581828,49.0,40.069926248485054,0.0,2,3,4,4,5,5,7,8,13,21,21
POST,/api/v1/gate/validate,7013,0,4,4.723001400679661,1.5103749992704252,23.060749999785912,67.0,118.77024208817654,0.0,4,5,6,6,7,8,9,10,13,23,23
,Aggregated,9379,0,4,4.246800566792746,0.8955419998528669,23.060749999785912,62.45921740057575,158.8401683366616,0.0,4,5,5,6,7,8,9,10,13,23,23
